TD, MAX, MIN, HR, PRESION, DIA, MES, CIUDAD
0.0,3.3,-1.5,85,984,31,Agosto,Ushuaia
0.1,3.0,0.4,57,987,31,Julio,Ushuaia
-0.1,11.2,-0.3,69,1006,31,Marzo,Trelew
-0.1,8.5,0.2,63,972,31,Julio,Ushuaia
0.3,4.5,0.3,98,985,31,Mayo,Ushuaia
0.5,15.1,-1.0,43,981,31,Julio,Neuquen
0.5,2.0,-0.5,87,986,31,Agosto,Ushuaia
-0.5,3.7,-3.2,61,991,31,Julio,Ushuaia
0.6,16.0,-2.8,46,1023,31,Agosto,Trelew
0.6,7.5,1.9,83,1005,31,Mayo,Ushuaia
-0.6,14.1,-3.5,58,965,31,Julio,Cordoba
0.7,14.2,-0.7,52,1018,31,Julio,Trelew
0.8,4.6,-2.4,68,982,31,Mayo,Ushuaia
0.8,4.8,-0.3,82,991,31,Agosto,Ushuaia
-0.8,3.2,-6.1,54,1008,31,Julio,Ushuaia
-0.8,6.0,-3.2,74,1004,31,Mayo,Ushuaia
1.0,4.8,1.7,88,991,31,Marzo,Ushuaia
-1.0,12.5,2.9,76,987,31,Julio,Neuquen
-1.0,5.0,-4.1,68,994,31,Agosto,Ushuaia
1.1,14.1,2.1,76,980,31,Julio,Neuquen
1.2,13.8,-6.1,53,1013,31,Mayo,Trelew
1.2,3.9,-1.4,82,990,31,Julio,Ushuaia
1.4,12.2,-2.0,75,1022,31,Julio,Trelew
1.4,13.4,1.8,81,1010,31,Agosto,Trelew
1.5,8.4,0.1,65,981,31,Agosto,Ushuaia
1.6,5.4,-6.6,82,983,31,Agosto,Ushuaia
-1.6,12.5,1.3,86,995,31,Marzo,Trelew
-1.7,12.0,-4.6,51,1009,31,Mayo,Trelew
1.8,13.0,-2.9,43,991,31,Julio,Neuquen
1.8,13.4,-2.0,46,985,31,Mayo,Neuquen
1.8,4.6,3.7,75,978,31,Mayo,Ushuaia
1.8,9.7,-1.1,64,1001,31,Agosto,Neuquen
-1.8,10.4,0.5,65,989,31,Mayo,Neuquen
-1.8,16.4,-2.9,49,982,31,Marzo,Neuquen
1.9,21.6,1.4,63,956,31,Julio,Cordoba
1.9,7.2,1.5,71,1010,31,Julio,Ushuaia
10.1,14.4,3.9,62,1003,31,Marzo,Ushuaia
10.1,22.1,1.3,48,965,31,Mayo,Cordoba
10.1,24.6,6.5,65,964,31,Mayo,Cordoba
10.2,13.6,9.2,90,980,31,Julio,Neuquen
10.2,16.1,3.5,77,956,31,Agosto,Cordoba
10.2,17.4,13.8,99,983,31,Mayo,Iguazu
10.2,17.4,13.8,99,983,31,Mayo,Iguazu
10.2,21.0,0.5,56,963,31,Agosto,Cordoba
10.2,22.7,-1.7,24,975,31,Agosto,Neuquen
10.3,20.2,11.4,97,915,31,Mayo,Jujuy
10.3,21.8,10.2,72,987,31,Agosto,Iguazu
10.3,21.8,10.2,72,987,31,Agosto,Iguazu
10.4,15.0,-4.0,61,1003,31,Agosto,Trelew
10.4,25.4,8.8,61,912,31,Julio,Jujuy
10.6,15.7,8.9,62,964,31,Mayo,Cordoba
10.6,22.0,8.6,68,958,31,Mayo,Cordoba
10.8,18.4,8.2,39,913,31,Mayo,Jujuy
11.0,16.5,10.8,94,913,31,Mayo,Jujuy
11.0,16.8,1.9,53,963,31,Agosto,Cordoba
11.0,17.2,-5.7,31,1014,31,Julio,Trelew
11.0,21.0,4.8,41,985,31,Agosto,Neuquen
11.0,24.5,1.5,30,979,31,Octubre,Neuquen
11.1,25.1,10.3,63,907,31,Mayo,Jujuy
11.2,15.4,11.2,92,959,31,Mayo,Cordoba
11.2,23.1,5.1,58,917,31,Julio,Jujuy
11.2,27.3,13.2,86,981,31,Marzo,Neuquen
11.3,22.9,-0.8,39,915,31,Julio,Jujuy
11.4,20.6,7.4,60,906,31,Agosto,Jujuy
11.4,28.3,10.0,59,955,31,Julio,Cordoba
11.6,19.4,7.4,75,1015,31,Octubre,Trelew
11.6,27.2,8.0,52,917,31,Agosto,Jujuy
11.7,18.2,8.2,79,1019,31,Octubre,Trelew
11.7,24.2,10.7,59,910,31,Mayo,Jujuy
11.7,28.8,5.4,38,912,31,Agosto,Jujuy
11.8,16.4,9.9,75,983,31,Diciembre,Ushuaia
11.8,20.0,-3.1,35,971,31,Agosto,Cordoba
11.8,22.6,10.7,93,988,31,Octubre,Neuquen
11.8,23.6,5.2,45,981,31,Julio,Neuquen
11.9,25.2,13.7,84,912,31,Marzo,Jujuy
12.0,17.4,4.6,45,998,31,Diciembre,Ushuaia
12.0,21.8,3.4,37,981,31,Julio,Neuquen
12.3,28.7,1.0,27,974,31,Julio,Neuquen
12.4,18.0,12.7,91,957,31,Mayo,Cordoba
12.4,23.1,-0.6,60,982,31,Agosto,Neuquen
12.4,23.2,5.6,45,990,31,Octubre,Neuquen
12.4,23.5,13.3,38,950,31,Julio,Cordoba
12.5,15.7,3.7,55,961,31,Mayo,Cordoba
12.6,18.3,3.8,55,1007,31,Octubre,Trelew
12.6,22.6,0.0,38,1009,31,Marzo,Trelew
12.6,28.5,4.4,32,980,31,Marzo,Neuquen
12.8,23.0,10.9,88,1016,31,Octubre,Trelew
12.8,24.6,14.8,78,987,31,Agosto,Iguazu
12.8,24.6,14.8,78,987,31,Agosto,Iguazu
12.9,23.8,12.9,75,957,31,Diciembre,Cordoba
13.2,21.0,12.7,90,989,31,Mayo,Iguazu
13.2,21.0,12.7,26,989,31,Mayo,Iguazu
13.3,31.2,11.1,41,979,31,Marzo,Neuquen
13.4,24.8,8.4,90,983,31,Marzo,Neuquen
13.4,32.4,0.6,25,908,31,Agosto,Jujuy
13.7,24.9,11.5,65,957,31,Diciembre,Cordoba
13.8,22.2,9.7,57,982,31,Octubre,Neuquen
13.8,22.4,13.8,100,986,31,Agosto,Iguazu
13.8,22.4,13.8,74,986,31,Agosto,Iguazu
13.8,24.3,6.3,61,1005,31,Marzo,Trelew
13.9,20.1,10.0,77,955,31,Octubre,Cordoba
13.9,20.2,8.7,68,911,31,Mayo,Jujuy
13.9,21.4,10.8,71,1020,31,Enero,Trelew
13.9,26.4,3.4,35,1002,31,Diciembre,Trelew
13.9,27.7,4.1,24,1000,31,Diciembre,Trelew
